title,company,location,link
Datacenter GoExpert Engineer,Oracle,서울,https://kr.indeed.com/채용보기?&jk=d5b9967419c40794
카카오톡 보이스톡/페이스톡/라이브톡 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/채용보기?&jk=d585814d097935eb
경력직 인재 (홍보.커뮤니케이션/퀀트/사무지원/홀세일/인덱스/금전채권),하나금융투자,서울 여의도,https://kr.indeed.com/채용보기?&jk=e7bd311c9271bbb5
MongoDB Engineer 모집,카카오,성남 판교역,https://kr.indeed.com/채용보기?&jk=2695294aea6dc3b6
AI기반 영상분석 엔지니어,크레스프리,성남 분당구,https://kr.indeed.com/채용보기?&jk=801009ad01595eb9
TOAST Cloud 사업기획/영업,NHN,성남 판교역,https://kr.indeed.com/채용보기?&jk=6b86ea39985912b6
Front end 개발자,브릭,성남 분당구,https://kr.indeed.com/채용보기?&jk=cac18e6bcbee5a21
2020년 석/박사 [산업분석],현대글로비스,서울 강남구,https://kr.indeed.com/채용보기?&jk=cef5f2b06f1c5370
[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행,성남 분당구,https://kr.indeed.com/채용보기?&jk=ebbd4762757dfe85
게임 데이터 분석가,쿡앱스,성남 분당구,https://kr.indeed.com/채용보기?&jk=5a299cf580491445
GNI 소프트웨어 개발자,KAN,울산 북구,https://kr.indeed.com/채용보기?&jk=b2ebc1da56d8b120
프론트앤드 개발,Nexon,성남 분당구,https://kr.indeed.com/채용보기?&jk=2755f5a6205a5c3d
"기술연구소 정규직 연력(Java, Python, 기타)및 개발자 (경력 1년이상)",파인씨앤아이,서울,https://kr.indeed.com/채용보기?&jk=df6dbb00c3db1b95
시스템 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/채용보기?&jk=9e127b84f8f4dee7
엔미디어플랫폼 데이터베이스 관리자 (DBA) 인재 안내,리더스소프트,성남 분당구,https://kr.indeed.com/채용보기?&jk=d0ca27a97ddf91f9
Lead Product Engineer - Liberate,Cadence Design Systems,경기도,https://kr.indeed.com/채용보기?&jk=ffac42e32db26233
Field Data Scientist,Success Korea,경기도,https://kr.indeed.com/채용보기?&jk=2892c67308e87f01
DRX 인재 공개,디알엑스,서울 구로구,https://kr.indeed.com/채용보기?&jk=a84b5655343a0228
빅데이터팀장 국내유명 식품대기업 지주사,국내유명 식품대기업 지주사,서울특별시,https://kr.indeed.com/채용보기?&jk=6786dc7dc72cad2b
(연3200만이상/분당/대기업)만도연구소 테스트엔지니어(연구원),휴먼앤,성남 분당구,https://kr.indeed.com/채용보기?&jk=52d2205ae9943e65
금융IT(UI/UX개발) 인재,에셋플러스자산운용,대한민국,https://kr.indeed.com/채용보기?&jk=04751aa927de1b32
연구소 개발부문 연구원 직원 (회로설계/하드웨어설계/머신비전/이미지프로세싱),모든다해,경기도 광명,https://kr.indeed.com/채용보기?&jk=ec4f0bf4742a67c7
System SW 엔지니어,딥엑스,성남 분당구,https://kr.indeed.com/채용보기?&jk=fc037709d0770796
2020년 하반기 각 부문 신입/경력,스탠드포인트,서울 금천구,https://kr.indeed.com/채용보기?&jk=158d61f253f65fb4
2020년 현대글로비스 석/박사 채용,현대글로비스,서울 역삼동,https://kr.indeed.com/채용보기?&jk=d2368e2391c4f4a5
[기술기획] 클라우드 플랫폼 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/채용보기?&jk=58ff9351c67e142d
[기술기획] DevOps 플랫폼 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/채용보기?&jk=53cc1115f4523d2d
로봇 자율주행 관제 엔지니어,클로봇,성남 분당구,https://kr.indeed.com/채용보기?&jk=6532c97675abff06
시스템 엔지니어링,NHN,성남 판교역,https://kr.indeed.com/채용보기?&jk=5cb14c0712a6c4c1
Data Scientist,레이니스트,서울,https://kr.indeed.com/채용보기?&jk=c4146edac244e5a5
경험최적화파트 - 머신러닝 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/채용보기?&jk=7bf179a290a157b2
카카오 광고 서비스 알고리즘 및 시스템 개발,카카오,성남 판교역,https://kr.indeed.com/채용보기?&jk=afe92c03320fe1b3
Behavioral Scientist - South Korea,Barbaricum,경기도 평택,https://kr.indeed.com/채용보기?&jk=8fa4af60ecf0567f
데이터 사이언스 및 엔지니어링,NHN,성남 판교역,https://kr.indeed.com/채용보기?&jk=46975ee759c13b8a
Security Engineer (취약점 분석),Toss,서울 강남구,https://kr.indeed.com/채용보기?&jk=96688eea9c1a9e28
데이터 마트 개발,Nexon,성남 분당구,https://kr.indeed.com/채용보기?&jk=2f9853d8068aa1f9
"Senior Staff Engineer, FAE Samsung",ams,서울,https://kr.indeed.com/채용보기?&jk=f8fcba2c93fcc52a
"Senior Data Scientist, Korea",Visa,서울,https://kr.indeed.com/채용보기?&jk=0601c7f1adb75903
백엔드 엔지니어 (전문연구요원 가능),버즈니,서울,https://kr.indeed.com/채용보기?&jk=8b9dbb350f5c0776
[신규프로젝트] 서버 프로그래머 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/채용보기?&jk=c31de64f3670c8ed
[청년 디지털 일자리] 백엔드 개발자,에이치엠,대구 동구,https://kr.indeed.com/채용보기?&jk=845871bf3ce0ac35
보훈대상자 인재 채용,네오위즈,대한민국,https://kr.indeed.com/채용보기?&jk=dfcb86f156623e5c
사내 및 서비스 보안 담당자 (경력),네오위즈,대한민국,https://kr.indeed.com/채용보기?&jk=cd40cf786e32f325
지구·환경공학부 환경시스템공학 연구실 위촉연구원,광주과학기술원,광주 북구,https://kr.indeed.com/채용보기?&jk=d425b24146af3fa1
[베스파] 데이터 분석(Data Analyst),베스파,서울 강남구,https://kr.indeed.com/채용보기?&jk=93057adc9103ac83
감시/제어 프로그램 개발자,파워켐텍,대전 유성구,https://kr.indeed.com/채용보기?&jk=c28c66c7635ac275
Consultant - App Platform,Microsoft,대한민국,https://kr.indeed.com/채용보기?&jk=ce2302f054015ca1
클라우드 엔지니어 (),NHN TOAST,성남 판교역,https://kr.indeed.com/채용보기?&jk=8bcc7807085700a7
Data Analyst,IQVIA,서울,https://kr.indeed.com/채용보기?&jk=2c4c5856662783e7
(주)쓰리에치솔루션 부문별 신입/경력 직원,쓰리에치솔루션,청주 흥덕구,https://kr.indeed.com/채용보기?&jk=8f668572059f80a7
[데이트코스 1위 앱 데이트팝] 2020 하반기,텐핑거스,서울 구로구,https://kr.indeed.com/채용보기?&jk=886319916afe2699
(주)코인플러그 서버 개발자 (신입 가능/전문연구요원/산업기능요원 보충역),코인플러그,성남 분당구,https://kr.indeed.com/채용보기?&jk=c89ccc7fac19d9fd
(주)시큐아이 개발직군 경력사원,시큐아이,서울 종로구,https://kr.indeed.com/채용보기?&jk=5cb797fb9f7a865a
